:START_ID(KG),:END_ID(KG),:TYPE,id,relation,evidence_code,knowledge_level,agent_type,provided_by,source
NCBIGene:114,GO:0035774,INVOLVED_IN,edge:0008391,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0038003,INVOLVED_IN,edge:0008392,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0042593,INVOLVED_IN,edge:0008393,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0050796,INVOLVED_IN,edge:0008403,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0050804,INVOLVED_IN,edge:0008404,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0051259,INVOLVED_IN,edge:0008405,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0051260,INVOLVED_IN,edge:0008406,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0051480,INVOLVED_IN,edge:0008407,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0071277,INVOLVED_IN,edge:0008410,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0071315,INVOLVED_IN,edge:0008411,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0071333,INVOLVED_IN,edge:0008412,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0071377,INVOLVED_IN,edge:0008413,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0080135,INVOLVED_IN,edge:0008414,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0097700,INVOLVED_IN,edge:0008415,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0150076,INVOLVED_IN,edge:0008419,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:1900273,INVOLVED_IN,edge:0008420,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:1900454,INVOLVED_IN,edge:0008421,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:1904322,INVOLVED_IN,edge:0008422,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0001819,INVOLVED_IN,edge:0008423,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0006260,INVOLVED_IN,edge:0008430,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0006940,INVOLVED_IN,edge:0008431,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007165,INVOLVED_IN,edge:0008432,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007173,INVOLVED_IN,edge:0008433,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007186,INVOLVED_IN,edge:0008434,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007189,INVOLVED_IN,edge:0008435,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007193,INVOLVED_IN,edge:0008436,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007265,INVOLVED_IN,edge:0008437,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007266,INVOLVED_IN,edge:0008438,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0007565,INVOLVED_IN,edge:0008439,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0008284,INVOLVED_IN,edge:0008440,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0010700,INVOLVED_IN,edge:0008441,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0019229,INVOLVED_IN,edge:0008444,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0030036,INVOLVED_IN,edge:0008446,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0030168,INVOLVED_IN,edge:0008447,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0030335,INVOLVED_IN,edge:0008448,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0032811,INVOLVED_IN,edge:0008453,RO:0001025,NAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0032870,INVOLVED_IN,edge:0008454,RO:0001025,IGI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0042311,INVOLVED_IN,edge:0008455,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0042593,INVOLVED_IN,edge:0008456,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0043268,INVOLVED_IN,edge:0008460,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0043278,INVOLVED_IN,edge:0008461,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0043410,INVOLVED_IN,edge:0008462,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0045742,INVOLVED_IN,edge:0008465,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0045955,INVOLVED_IN,edge:0008466,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0046676,INVOLVED_IN,edge:0008467,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0050892,INVOLVED_IN,edge:0008469,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0050955,INVOLVED_IN,edge:0008470,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0050995,INVOLVED_IN,edge:0008471,RO:0001025,IGI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0051044,INVOLVED_IN,edge:0008472,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0051897,INVOLVED_IN,edge:0008475,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0051926,INVOLVED_IN,edge:0008476,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0061179,INVOLVED_IN,edge:0008477,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0070473,INVOLVED_IN,edge:0008478,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0071875,INVOLVED_IN,edge:0008479,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0071880,INVOLVED_IN,edge:0008480,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0071881,INVOLVED_IN,edge:0008481,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0071882,INVOLVED_IN,edge:0008482,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0090303,INVOLVED_IN,edge:0008483,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0097305,INVOLVED_IN,edge:0008484,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0099171,INVOLVED_IN,edge:0008489,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0000122,INVOLVED_IN,edge:0008490,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0003006,INVOLVED_IN,edge:0008492,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0007283,INVOLVED_IN,edge:0008501,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0007530,INVOLVED_IN,edge:0008502,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0008104,INVOLVED_IN,edge:0008503,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0008406,INVOLVED_IN,edge:0008504,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0008584,INVOLVED_IN,edge:0008505,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0010894,INVOLVED_IN,edge:0008506,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0021854,INVOLVED_IN,edge:0008511,RO:0001025,NAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0021983,INVOLVED_IN,edge:0008512,RO:0001025,NAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0030325,INVOLVED_IN,edge:0008513,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0033144,INVOLVED_IN,edge:0008515,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0045721,INVOLVED_IN,edge:0008518,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
